R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
560.478,0.1924571,0.3106983,0.153751,0.1306521,0.2859014,0.4401767
561.728,0.1680457,0.2988062,0.1525372,0.1183987,0.2714603,0.4268196
562.978,0.1456839,0.285728,0.1510731,0.1067062,0.2563004,0.4117601
564.229,0.1251438,0.2745139,0.1504048,0.0977379,0.2417832,0.3971342
565.479,0.1074242,0.2622936,0.1496682,0.0908564,0.2267985,0.3810337
566.729,0.0919539,0.2525084,0.1498765,0.0870118,0.2123826,0.3656904
567.98,0.079484,0.2423035,0.1508258,0.085119,0.1979217,0.3495229
569.23,0.0685248,0.2322769,0.150283,0.0849289,0.1833531,0.3332168
570.48,0.0610432,0.2236569,0.151334,0.0879287,0.1697532,0.3162303
571.731,0.055766,0.2162758,0.1524505,0.0928983,0.1566154,0.3003576
572.981,0.0530181,0.2091253,0.1533255,0.1001697,0.144099,0.2833781
574.231,0.0525453,0.2027994,0.1543676,0.1094576,0.1323916,0.267347
575.481,0.0539163,0.1975874,0.1549156,0.1201728,0.1217297,0.2506964
576.732,0.0570804,0.1940852,0.1562684,0.1329805,0.1120007,0.2350091
577.982,0.0624575,0.1903785,0.15792,0.1469285,0.1039946,0.2195881
579.232,0.0692774,0.1881543,0.1586686,0.1630588,0.09621,0.2043761
580.483,0.0768256,0.1864434,0.1590149,0.1782213,0.0890946,0.1891092
581.733,0.0857753,0.1877327,0.1601668,0.1962374,0.084948,0.1759849
582.983,0.0949991,0.1878757,0.1608652,0.2130376,0.0805182,0.1620291
584.234,0.1054102,0.1896539,0.1615492,0.231177,0.0782917,0.1496452
585.484,0.1158796,0.1924319,0.1614412,0.2494111,0.0765885,0.1375186
586.734,0.1265188,0.1973768,0.1614051,0.268684,0.0764353,0.1275295
587.985,0.1376078,0.2018402,0.1620407,0.2857034,0.0779855,0.1179002
589.235,0.1483195,0.2067866,0.160913,0.3033897,0.0793511,0.1093545
590.485,0.160093,0.2130691,0.1606151,0.3212303,0.0828178,0.1016145
591.736,0.170842,0.2213255,0.1602462,0.3392294,0.0870574,0.0965077
592.986,0.1806167,0.2275032,0.1581278,0.3553415,0.0917398,0.0905781
594.236,0.190834,0.235746,0.1575705,0.3724165,0.0970991,0.0870486
595.487,0.2004011,0.2429694,0.1554632,0.3871346,0.104432,0.0847981
596.737,0.2095228,0.2527638,0.153982,0.4027026,0.1111241,0.0843113
597.987,0.2186192,0.2608911,0.1513881,0.4171336,0.1179659,0.0836845
599.237,0.2265198,0.2702372,0.1488288,0.4310516,0.1266683,0.0853653
600.488,0.2343766,0.2781004,0.14602,0.4431683,0.1349808,0.0871445
601.738,0.2421331,0.2887623,0.1441424,0.45661,0.1443595,0.0924335
602.988,0.2484853,0.2970213,0.1413743,0.4675958,0.1521989,0.0964174
604.239,0.254825,0.3063721,0.1371355,0.4804592,0.1612554,0.1019917
605.489,0.2605249,0.3139206,0.133887,0.488871,0.1698672,0.1087362
606.739,0.266409,0.3244232,0.1302971,0.5001655,0.1787839,0.1160284
607.99,0.2703799,0.3318238,0.1273246,0.5089847,0.1876929,0.1246356
609.24,0.2744248,0.3397749,0.1225143,0.5173731,0.1954169,0.1333231
610.49,0.2783489,0.3472534,0.1185122,0.5248396,0.2043925,0.1419051
611.741,0.2814998,0.3564898,0.1147582,0.5331964,0.212204,0.1518629
612.991,0.2840868,0.36273,0.1113494,0.5394457,0.2205246,0.1620049
614.241,0.2852301,0.36782,0.1056425,0.5440148,0.2272732,0.17164
